Continent,Name,Population
Asia,Seoul,9981619
Asia,Jakarta,9604900
Asia,Tokyo,7980230
Asia,Peking,7472000
Asia,Teheran,6758845
Asia,Bangkok,6320174
Asia,Baghdad,4336000
Asia,Singapore,4017733
Asia,Dhaka,3612850
Asia,Rangoon (Yangon),3361700
Asia,Riyadh,3324000
Asia,Ankara,3038159
Asia,Taipei,2641312
Asia,Pyongyang,2484000
Asia,Toskent,2117500
Asia,Baku,1787800
Asia,Kabul,1780000
Asia,Manila,1581082
Asia,Hanoi,1410000
Asia,Damascus,1347000
Asia,Victoria,1312637
Asia,Kuala Lumpur,1297526
Asia,Yerevan,1248700
Asia,Tbilisi,1235200
Asia,Beirut,1100000
Asia,Amman,1000000
Asia,Ulan Bator,773700
Asia,Colombo,645000
Asia,Jerusalem,633700
Asia,Kathmandu,591835
Asia,Bishkek,589400
Asia,Phnom Penh,570155
Asia,Ashgabat,540600
Asia,Vientiane,531800
Asia,Islamabad,524500
Asia,Dushanbe,524000
Asia,Sanaa,503600
Asia,Macao,437500
Asia,Abu Dhabi,398695
Asia,Doha,355000
Asia,Gaza,353632
Asia,Astana,311200
Asia,New Delhi,301297
Asia,Nicosia,195000
Asia,al-Manama,148000
Asia,Male,71000
Asia,Masqat,51969
Asia,Dili,47900
Asia,Kuwait,28859
Asia,Thimphu,22000
Asia,Bandar Seri Begawan,21484
