Continent,Name,Population
Europe,Moscow,8389200
Europe,London,7285000
Europe,Berlin,3386667
Europe,Madrid,2879052
Europe,Roma,2643581
Europe,Kyiv,2624000
Europe,Paris,2125246
Europe,Bucuresti,2016131
Europe,Budapest,1811552
Europe,Minsk,1674000
Europe,Warszawa,1615369
Europe,Wien,1608144
Europe,Beograd,1204000
Europe,Praha,1181126
Europe,Sofija,1122302
Europe,Athenai,772072
Europe,Riga,764328
Europe,Stockholm,750348
Europe,Amsterdam,731200
Europe,Chisinau,719900
Europe,Zagreb,706770
Europe,Vilnius,577969
Europe,Lisboa,563210
Europe,Helsinki [Helsingfors],555474
Europe,Oslo,508726
Europe,København,495699
Europe,Dublin,481854
Europe,Bratislava,448292
Europe,Skopje,444299
Europe,Tallinn,403981
Europe,Sarajevo,360000
Europe,Ljubljana,270986
Europe,Tirana,270000
Europe,Bruxelles [Brussel],133859
Europe,Bern,122700
Europe,Reykjavík,109184
Europe,Luxembourg [Luxemburg/Lëtzebuerg],80700
Europe,Gibraltar,27025
Europe,Andorra la Vella,21189
Europe,Tórshavn,14542
Europe,Valletta,7073
Europe,Vaduz,5043
Europe,San Marino,2294
Europe,Longyearbyen,1438
Europe,Monaco-Ville,1234
Europe,Città del Vaticano,455
