Continent,Name,Population
North America,Ciudad de México,8591309
North America,La Habana,2256000
North America,Santo Domingo de Guzmán,1609966
North America,Managua,959000
North America,Port-au-Prince,884472
North America,Ciudad de Guatemala,823301
North America,Tegucigalpa,813900
North America,Washington,572059
North America,Ciudad de Panamá,471373
North America,San Juan,434374
North America,San Salvador,415346
North America,San José,339131
North America,Ottawa,335277
North America,Nassau,172000
North America,Kingston,103962
North America,Fort-de-France,94050
North America,Port-of-Spain,43396
North America,Oranjestad,29034
North America,Saint John´s,24000
North America,George Town,19600
North America,Kingstown,17100
North America,Roseau,16243
North America,Nuuk,13445
North America,Charlotte Amalie,13000
North America,Basse-Terre,12433
North America,Basseterre,11600
North America,Road Town,8000
North America,Belmopan,7105
North America,Bridgetown,6070
North America,Saint-Pierre,5808
North America,Cockburn Town,4800
North America,Saint George´s,4621
North America,Willemstad,2345
North America,Castries,2301
North America,Plymouth,2000
North America,Hamilton,1200
North America,The Valley,595
