Continent,Name,Population
Oceania,Canberra,322723
Oceania,Port Moresby,247000
Oceania,Wellington,166700
Oceania,Suva,77366
Oceania,Nouméa,76293
Oceania,Honiara,50100
Oceania,Apia,35900
Oceania,Port-Vila,33700
Oceania,Dalap-Uliga-Darrit,28000
Oceania,Papeete,25553
Oceania,Nuku´alofa,22400
Oceania,Koror,12000
Oceania,Avarua,11900
Oceania,Garapan,9200
Oceania,Palikir,8600
Oceania,Funafuti,4600
Oceania,Fagatogo,2323
Oceania,Bairiki,2226
Oceania,Agaña,1139
Oceania,Mata-Utu,1137
Oceania,Kingston,800
Oceania,Flying Fish Cove,700
Oceania,Alofi,682
Oceania,Yaren,559
Oceania,Fakaofo,300
Oceania,West Island,167
Oceania,Adamstown,42
