Continent,Name
North America,Ciudad de México
North America,New York
North America,Los Angeles
North America,Chicago
North America,La Habana
North America,Houston
North America,Guadalajara
North America,Ecatepec de Morelos
North America,Santo Domingo de Guzmán
North America,Philadelphia
North America,Puebla
North America,Phoenix
North America,Nezahualcóyotl
North America,San Diego
North America,Juárez
North America,Tijuana
North America,Dallas
North America,San Antonio
North America,León
North America,Monterrey
North America,Montréal
North America,Zapopan
North America,Managua
North America,Detroit
North America,San Jose
North America,Port-au-Prince
North America,Naucalpan de Juárez
North America,Ciudad de Guatemala
North America,Tegucigalpa
North America,Indianapolis
North America,San Francisco
North America,Calgary
North America,Mexicali
North America,Culiacán
North America,Jacksonville
North America,Acapulco de Juárez
North America,Tlalnepantla de Baz
North America,Columbus
North America,Mérida
North America,Toronto
North America,Chihuahua
North America,San Luis Potosí
North America,Guadalupe
North America,Toluca
North America,Austin
North America,Baltimore
North America,Memphis
North America,Aguascalientes
North America,Querétaro
North America,North York
North America,Morelia
North America,Winnipeg
North America,Edmonton
North America,Hermosillo
North America,Mississauga
North America,Milwaukee
North America,Scarborough
North America,Boston
North America,Saltillo
North America,Washington
North America,Nashville-Davidson
North America,El Paso
North America,Seattle
North America,Denver
North America,Charlotte
North America,Fort Worth
North America,Portland
North America,Torreón
North America,Centro (Villahermosa)
North America,Vancouver
North America,Oklahoma City
North America,San Nicolás de los Garza
North America,Durango
North America,Chimalhuacán
North America,Tucson
North America,New Orleans
North America,Las Vegas
North America,Cleveland
North America,Tlaquepaque
North America,Ciudad de Panamá
North America,Atizapán de Zaragoza
North America,Long Beach
North America,Veracruz
North America,Cuautitlán Izcalli
North America,Albuquerque
North America,Kansas City
North America,Irapuato
North America,San Juan
North America,Tuxtla Gutiérrez
North America,Santiago de Cuba
North America,Tultitlán
North America,Fresno
North America,Virginia Beach
North America,Reynosa
North America,Benito Juárez
North America,Atlanta
North America,Matamoros
North America,San Salvador
North America,Sacramento
North America,Oakland
North America,Mesa
North America,Tulsa
North America,Xalapa
North America,Omaha
North America,San Pedro Sula
North America,Minneapolis
North America,Celaya
North America,Mazatlán
North America,Honolulu
North America,Ensenada
North America,Santiago de los Caballeros
North America,Miami
North America,Colorado Springs
North America,Ahome
North America,Cajeme
North America,Etobicoke
North America,Saint Louis
North America,Wichita
North America,London
North America,San José
North America,Santa Ana
North America,Cuernavaca
North America,Tonalá
North America,Hamilton
North America,Ottawa
North America,Pittsburgh
North America,Arlington
North America,Cincinnati
North America,Laval
North America,Anaheim
