Country,Name
Italy,Roma
Italy,Milano
Italy,Napoli
Italy,Torino
Italy,Palermo
Italy,Genova
Italy,Bologna
Italy,Firenze
Italy,Catania
Italy,Bari
Italy,Venezia
Italy,Messina
Italy,Verona
Italy,Trieste
Italy,Padova
Italy,Taranto
Italy,Brescia
Italy,Reggio di Calabria
Italy,Modena
Italy,Prato
Italy,Parma
Italy,Cagliari
Italy,Livorno
Italy,Perugia
Italy,Foggia
Italy,Reggio nell´ Emilia
Italy,Salerno
Italy,Ravenna
Italy,Ferrara
Italy,Rimini
Italy,Syrakusa
Italy,Sassari
Italy,Monza
Italy,Bergamo
Italy,Pescara
Italy,Latina
Italy,Vicenza
Italy,Terni
Italy,Forlì
Italy,Trento
Italy,Novara
Italy,Piacenza
Italy,Ancona
Italy,Lecce
Italy,Bolzano
Italy,Catanzaro
Italy,La Spezia
Italy,Udine
Italy,Torre del Greco
Italy,Andria
Italy,Brindisi
Italy,Giugliano in Campania
Italy,Pisa
Italy,Barletta
Italy,Arezzo
Italy,Alessandria
Italy,Cesena
Italy,Pesaro
