Country,Name
United Kingdom,London
United Kingdom,Birmingham
United Kingdom,Glasgow
United Kingdom,Liverpool
United Kingdom,Edinburgh
United Kingdom,Sheffield
United Kingdom,Manchester
United Kingdom,Leeds
United Kingdom,Bristol
United Kingdom,Cardiff
United Kingdom,Coventry
United Kingdom,Leicester
United Kingdom,Bradford
United Kingdom,Belfast
United Kingdom,Nottingham
United Kingdom,Kingston upon Hull
United Kingdom,Plymouth
United Kingdom,Stoke-on-Trent
United Kingdom,Wolverhampton
United Kingdom,Derby
United Kingdom,Swansea
United Kingdom,Southampton
United Kingdom,Aberdeen
United Kingdom,Northampton
United Kingdom,Dudley
United Kingdom,Portsmouth
United Kingdom,Newcastle upon Tyne
United Kingdom,Sunderland
United Kingdom,Luton
United Kingdom,Swindon
United Kingdom,Southend-on-Sea
United Kingdom,Walsall
United Kingdom,Bournemouth
United Kingdom,Brighton
United Kingdom,Peterborough
United Kingdom,Blackpool
United Kingdom,Reading
United Kingdom,Dundee
United Kingdom,West Bromwich
United Kingdom,Oldbury/Smethwick (Warley)
United Kingdom,Middlesbrough
United Kingdom,Oxford
United Kingdom,Huddersfield
United Kingdom,Poole
United Kingdom,Blackburn
United Kingdom,Bolton
United Kingdom,Newport
United Kingdom,Preston
United Kingdom,Stockport
United Kingdom,Norwich
United Kingdom,Rotherham
United Kingdom,Cambridge
United Kingdom,Ipswich
United Kingdom,Watford
United Kingdom,Slough
United Kingdom,Exeter
United Kingdom,Gloucester
United Kingdom,Saint Helens
United Kingdom,Sutton Coldfield
United Kingdom,Cheltenham
United Kingdom,York
United Kingdom,Oldham
United Kingdom,Basildon
United Kingdom,Worthing
United Kingdom,Chelmsford
United Kingdom,Crawley
United Kingdom,Colchester
United Kingdom,Worcester
United Kingdom,Solihull
United Kingdom,Rochdale
United Kingdom,Birkenhead
United Kingdom,Gillingham
United Kingdom,Hartlepool
United Kingdom,Woking/Byfleet
United Kingdom,Halifax
United Kingdom,Southport
United Kingdom,Maidstone
United Kingdom,Eastbourne
United Kingdom,Grimsby
United Kingdom,Saint Helier
United Kingdom,Douglas
