Region,Name
Caribbean,La Habana
Caribbean,Santo Domingo de Guzmán
Caribbean,Port-au-Prince
Caribbean,San Juan
Caribbean,Santiago de Cuba
Caribbean,Santiago de los Caballeros
Caribbean,Camagüey
Caribbean,Carrefour
Caribbean,Holguín
Caribbean,Delmas
Caribbean,Bayamón
Caribbean,Santa Clara
Caribbean,Guantánamo
Caribbean,Ponce
Caribbean,Carolina
Caribbean,Nassau
Caribbean,Pinar del Río
Caribbean,Bayamo
Caribbean,Caguas
Caribbean,La Romana
Caribbean,Cienfuegos
Caribbean,Victoria de las Tunas
Caribbean,San Pedro de Macorís
Caribbean,Matanzas
Caribbean,Spanish Town
Caribbean,Manzanillo
Caribbean,San Francisco de Macorís
Caribbean,Kingston
Caribbean,Le-Cap-Haïtien
Caribbean,Sancti-Spíritus
Caribbean,Arecibo
Caribbean,Guaynabo
Caribbean,Portmore
Caribbean,Ciego de Ávila
Caribbean,Mayagüez
Caribbean,Toa Baja
Caribbean,Fort-de-France
Caribbean,San Felipe de Puerto Plata
Caribbean,Les Abymes
Caribbean,Chaguanas
Caribbean,Port-of-Spain
Caribbean,Oranjestad
Caribbean,Saint John´s
Caribbean,George Town
Caribbean,Kingstown
Caribbean,Roseau
Caribbean,Charlotte Amalie
Caribbean,Basse-Terre
Caribbean,Basseterre
Caribbean,Road Town
Caribbean,Bridgetown
Caribbean,Cockburn Town
Caribbean,Saint George´s
Caribbean,Willemstad
Caribbean,Castries
Caribbean,Plymouth
Caribbean,South Hill
Caribbean,The Valley
