Name,Population
Memphis,650100
Nashville-Davidson,569891
Charlotte,540828
Tucson,486699
Long Beach,461522
Virginia Beach,425257
Mesa,396375
Honolulu,371657
Wichita,344284
Cincinnati,331285
Buffalo,292648
Raleigh,276093
Louisville,256231
Stockton,243771
Baton Rouge,227818
Plano,222030
Garland,215768
Scottsdale,202705
Lubbock,199564
Grand Rapids,197800
Glendale,194973
Modesto,188856
Boise City,185787
Little Rock,183133
Chandler,176581
Knoxville,173890
Worcester,172648
Oceanside,161029
Chattanooga,155554
