Country,Name,Population
United Kingdom,London,7285000
United Kingdom,Birmingham,1013000
United Kingdom,Glasgow,619680
United Kingdom,Liverpool,461000
United Kingdom,Edinburgh,450180
United Kingdom,Sheffield,431607
United Kingdom,Manchester,430000
United Kingdom,Leeds,424194
United Kingdom,Bristol,402000
United Kingdom,Cardiff,321000
United Kingdom,Coventry,304000
United Kingdom,Leicester,294000
United Kingdom,Bradford,289376
United Kingdom,Belfast,287500
United Kingdom,Nottingham,287000
United Kingdom,Kingston upon Hull,262000
United Kingdom,Plymouth,253000
United Kingdom,Stoke-on-Trent,252000
United Kingdom,Wolverhampton,242000
United Kingdom,Derby,236000
