Name,Continent,Population
India,Asia,1013662000
United States,North America,278357000
Indonesia,Asia,212107000
Brazil,South America,170115000
Pakistan,Asia,156483000
Russian Federation,Europe,146934000
Bangladesh,Asia,129155000
Japan,Asia,126714000
Nigeria,Africa,111506000
Mexico,North America,98881000
Germany,Europe,82164700
Vietnam,Asia,79832000
Philippines,Asia,75967000
Egypt,Africa,68470000
Iran,Asia,67702000
Turkey,Asia,66591000
Ethiopia,Africa,62565000
Thailand,Asia,61399000
United Kingdom,Europe,59623400
France,Europe,59225700
Italy,Europe,57680000
"Congo, The Democratic Republic of the",Africa,51654000
Ukraine,Europe,50456000
South Korea,Asia,46844000
Myanmar,Asia,45611000
Colombia,South America,42321000
South Africa,Africa,40377000
Spain,Europe,39441700
Poland,Europe,38653600
Argentina,South America,37032000
Tanzania,Africa,33517000
Algeria,Africa,31471000
Canada,North America,31147000
Kenya,Africa,30080000
Sudan,Africa,29490000
Morocco,Africa,28351000
Peru,South America,25662000
Uzbekistan,Asia,24318000
Venezuela,South America,24170000
North Korea,Asia,24039000
Nepal,Asia,23930000
Iraq,Asia,23115000
Afghanistan,Asia,22720000
Romania,Europe,22455500
Taiwan,Asia,22256000
Malaysia,Asia,22244000
Uganda,Africa,21778000
Saudi Arabia,Asia,21607000
Ghana,Africa,20212000
Mozambique,Africa,19680000
Australia,Oceania,18886000
Sri Lanka,Asia,18827000
Yemen,Asia,18112000
Kazakstan,Asia,16223000
Syria,Asia,16125000
Madagascar,Africa,15942000
Netherlands,Europe,15864000
Chile,South America,15211000
Cameroon,Africa,15085000
Côte d’Ivoire,Africa,14786000
Angola,Africa,12878000
Ecuador,South America,12646000
Burkina Faso,Africa,11937000
Zimbabwe,Africa,11669000
Guatemala,North America,11385000
Mali,Africa,11234000
Cuba,North America,11201000
Cambodia,Asia,11168000
Malawi,Africa,10925000
Niger,Africa,10730000
Yugoslavia,Europe,10640000
Greece,Europe,10545700
Czech Republic,Europe,10278100
Belgium,Europe,10239000
Belarus,Europe,10236000
Somalia,Africa,10097000
Hungary,Europe,10043200
Portugal,Europe,9997600
Tunisia,Africa,9586000
Senegal,Africa,9481000
Zambia,Africa,9169000
Sweden,Europe,8861400
Dominican Republic,North America,8495000
Bolivia,South America,8329000
Haiti,North America,8222000
Bulgaria,Europe,8190900
Austria,Europe,8091800
Azerbaijan,Asia,7734000
Rwanda,Africa,7733000
Chad,Africa,7651000
Guinea,Africa,7430000
Switzerland,Europe,7160400
Hong Kong,Asia,6782000
Burundi,Africa,6695000
Honduras,North America,6485000
El Salvador,North America,6276000
Israel,Asia,6217000
Tajikistan,Asia,6188000
Benin,Africa,6097000
