Continent,Capital City
Asia,China,
Asia,India,
Asia,Indonesia,
Asia,Pakistan,
Asia,Bangladesh,
Asia,Japan,
Asia,Vietnam,
Asia,Philippines,
Asia,Iran,
Asia,Turkey,
Asia,Thailand,
Asia,South Korea,
Asia,Myanmar,
Asia,Uzbekistan,
Asia,North Korea,
Asia,Nepal,
Asia,Iraq,
Asia,Afghanistan,
Asia,Taiwan,
Asia,Malaysia,
Asia,Saudi Arabia,
Asia,Sri Lanka,
Asia,Yemen,
Asia,Kazakstan,
Asia,Syria,
Asia,Cambodia,
Asia,Azerbaijan,
Asia,Hong Kong,
Asia,Israel,
Asia,Tajikistan,
Asia,Laos,
Asia,Jordan,
Asia,Georgia,
Asia,Kyrgyzstan,
Asia,Turkmenistan,
Asia,Singapore,
Asia,Armenia,
Asia,Lebanon,
Asia,Palestine,
Asia,Mongolia,
Asia,Oman,
Asia,United Arab Emirates,
Asia,Bhutan,
Asia,Kuwait,
Asia,East Timor,
Asia,Cyprus,
Asia,Bahrain,
Asia,Qatar,
Asia,Macao,
Asia,Brunei,
Asia,Maldives,
