Continent,Name
Oceania,Papua New Guinea
Oceania,New Zealand
Oceania,Fiji Islands
Oceania,Solomon Islands
Oceania,French Polynesia
Oceania,New Caledonia
Oceania,Vanuatu
Oceania,Samoa
Oceania,Guam
Oceania,"Micronesia, Federated States of"
Oceania,Tonga
Oceania,Kiribati
Oceania,Northern Mariana Islands
Oceania,American Samoa
Oceania,Marshall Islands
Oceania,Cook Islands
Oceania,Palau
Oceania,Wallis and Futuna
Oceania,Nauru
Oceania,Tuvalu
Oceania,Christmas Island
Oceania,Niue
Oceania,Norfolk Island
Oceania,Tokelau
Oceania,Cocos (Keeling) Islands
Oceania,Pitcairn
Oceania,United States Minor Outlying Islands
