Name,Code,Continent,Region,Population,City Name
Aruba,ABW,North America,Caribbean,103000,Oranjestad
Afghanistan,AFG,Asia,Southern and Central Asia,22720000,Kabul
Angola,AGO,Africa,Central Africa,12878000,Luanda
Anguilla,AIA,North America,Caribbean,8000,The Valley
Albania,ALB,Europe,Southern Europe,3401200,Tirana
Andorra,AND,Europe,Southern Europe,78000,Andorra la Vella
Netherlands Antilles,ANT,North America,Caribbean,217000,Willemstad
United Arab Emirates,ARE,Asia,Middle East,2441000,Abu Dhabi
Argentina,ARG,South America,South America,37032000,Buenos Aires
Armenia,ARM,Asia,Middle East,3520000,Yerevan
American Samoa,ASM,Oceania,Polynesia,68000,Fagatogo
Antigua and Barbuda,ATG,North America,Caribbean,68000,Saint John´s
Australia,AUS,Oceania,Australia and New Zealand,18886000,Canberra
Austria,AUT,Europe,Western Europe,8091800,Wien
Azerbaijan,AZE,Asia,Middle East,7734000,Baku
Burundi,BDI,Africa,Eastern Africa,6695000,Bujumbura
Belgium,BEL,Europe,Western Europe,10239000,Bruxelles [Brussel]
Benin,BEN,Africa,Western Africa,6097000,Porto-Novo
Burkina Faso,BFA,Africa,Western Africa,11937000,Ouagadougou
Bangladesh,BGD,Asia,Southern and Central Asia,129155000,Dhaka
Bulgaria,BGR,Europe,Eastern Europe,8190900,Sofija
Bahrain,BHR,Asia,Middle East,617000,al-Manama
Bahamas,BHS,North America,Caribbean,307000,Nassau
Bosnia and Herzegovina,BIH,Europe,Southern Europe,3972000,Sarajevo
Belarus,BLR,Europe,Eastern Europe,10236000,Minsk
Belize,BLZ,North America,Central America,241000,Belmopan
Bermuda,BMU,North America,North America,65000,Hamilton
Bolivia,BOL,South America,South America,8329000,La Paz
Brazil,BRA,South America,South America,170115000,Brasília
Barbados,BRB,North America,Caribbean,270000,Bridgetown
Brunei,BRN,Asia,Southeast Asia,328000,Bandar Seri Begawan
Bhutan,BTN,Asia,Southern and Central Asia,2124000,Thimphu
Botswana,BWA,Africa,Southern Africa,1622000,Gaborone
Central African Republic,CAF,Africa,Central Africa,3615000,Bangui
Canada,CAN,North America,North America,31147000,Ottawa
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,600,West Island
Switzerland,CHE,Europe,Western Europe,7160400,Bern
Chile,CHL,South America,South America,15211000,Santiago de Chile
China,CHN,Asia,Eastern Asia,1277558000,Peking
Côte d’Ivoire,CIV,Africa,Western Africa,14786000,Yamoussoukro
Cameroon,CMR,Africa,Central Africa,15085000,Yaoundé
"Congo, The Democratic Republic of the",COD,Africa,Central Africa,51654000,Kinshasa
Congo,COG,Africa,Central Africa,2943000,Brazzaville
Cook Islands,COK,Oceania,Polynesia,20000,Avarua
Colombia,COL,South America,South America,42321000,Santafé de Bogotá
Comoros,COM,Africa,Eastern Africa,578000,Moroni
Cape Verde,CPV,Africa,Western Africa,428000,Praia
Costa Rica,CRI,North America,Central America,4023000,San José
Cuba,CUB,North America,Caribbean,11201000,La Habana
Christmas Island,CXR,Oceania,Australia and New Zealand,2500,Flying Fish Cove
Cayman Islands,CYM,North America,Caribbean,38000,George Town
Cyprus,CYP,Asia,Middle East,754700,Nicosia
Czech Republic,CZE,Europe,Eastern Europe,10278100,Praha
Germany,DEU,Europe,Western Europe,82164700,Berlin
Djibouti,DJI,Africa,Eastern Africa,638000,Djibouti
Dominica,DMA,North America,Caribbean,71000,Roseau
Denmark,DNK,Europe,Nordic Countries,5330000,København
Dominican Republic,DOM,North America,Caribbean,8495000,Santo Domingo de Guzmán
Algeria,DZA,Africa,Northern Africa,31471000,Alger
Ecuador,ECU,South America,South America,12646000,Quito
Egypt,EGY,Africa,Northern Africa,68470000,Cairo
Eritrea,ERI,Africa,Eastern Africa,3850000,Asmara
Western Sahara,ESH,Africa,Northern Africa,293000,El-Aaiún
Spain,ESP,Europe,Southern Europe,39441700,Madrid
Estonia,EST,Europe,Baltic Countries,1439200,Tallinn
Ethiopia,ETH,Africa,Eastern Africa,62565000,Addis Abeba
Finland,FIN,Europe,Nordic Countries,5171300,Helsinki [Helsingfors]
Fiji Islands,FJI,Oceania,Melanesia,817000,Suva
Falkland Islands,FLK,South America,South America,2000,Stanley
France,FRA,Europe,Western Europe,59225700,Paris
Faroe Islands,FRO,Europe,Nordic Countries,43000,Tórshavn
"Micronesia, Federated States of",FSM,Oceania,Micronesia,119000,Palikir
Gabon,GAB,Africa,Central Africa,1226000,Libreville
United Kingdom,GBR,Europe,British Islands,59623400,London
Georgia,GEO,Asia,Middle East,4968000,Tbilisi
Ghana,GHA,Africa,Western Africa,20212000,Accra
Gibraltar,GIB,Europe,Southern Europe,25000,Gibraltar
Guinea,GIN,Africa,Western Africa,7430000,Conakry
Guadeloupe,GLP,North America,Caribbean,456000,Basse-Terre
Gambia,GMB,Africa,Western Africa,1305000,Banjul
Guinea-Bissau,GNB,Africa,Western Africa,1213000,Bissau
Equatorial Guinea,GNQ,Africa,Central Africa,453000,Malabo
Greece,GRC,Europe,Southern Europe,10545700,Athenai
Grenada,GRD,North America,Caribbean,94000,Saint George´s
Greenland,GRL,North America,North America,56000,Nuuk
Guatemala,GTM,North America,Central America,11385000,Ciudad de Guatemala
French Guiana,GUF,South America,South America,181000,Cayenne
Guam,GUM,Oceania,Micronesia,168000,Agaña
Guyana,GUY,South America,South America,861000,Georgetown
Hong Kong,HKG,Asia,Eastern Asia,6782000,Victoria
Honduras,HND,North America,Central America,6485000,Tegucigalpa
Croatia,HRV,Europe,Southern Europe,4473000,Zagreb
Haiti,HTI,North America,Caribbean,8222000,Port-au-Prince
Hungary,HUN,Europe,Eastern Europe,10043200,Budapest
Indonesia,IDN,Asia,Southeast Asia,212107000,Jakarta
India,IND,Asia,Southern and Central Asia,1013662000,New Delhi
Ireland,IRL,Europe,British Islands,3775100,Dublin
Iran,IRN,Asia,Southern and Central Asia,67702000,Teheran
Iraq,IRQ,Asia,Middle East,23115000,Baghdad
Iceland,ISL,Europe,Nordic Countries,279000,Reykjavík
Israel,ISR,Asia,Middle East,6217000,Jerusalem
Italy,ITA,Europe,Southern Europe,57680000,Roma
Jamaica,JAM,North America,Caribbean,2583000,Kingston
Jordan,JOR,Asia,Middle East,5083000,Amman
Japan,JPN,Asia,Eastern Asia,126714000,Tokyo
Kazakstan,KAZ,Asia,Southern and Central Asia,16223000,Astana
Kenya,KEN,Africa,Eastern Africa,30080000,Nairobi
Kyrgyzstan,KGZ,Asia,Southern and Central Asia,4699000,Bishkek
Cambodia,KHM,Asia,Southeast Asia,11168000,Phnom Penh
Kiribati,KIR,Oceania,Micronesia,83000,Bairiki
Saint Kitts and Nevis,KNA,North America,Caribbean,38000,Basseterre
South Korea,KOR,Asia,Eastern Asia,46844000,Seoul
Kuwait,KWT,Asia,Middle East,1972000,Kuwait
Laos,LAO,Asia,Southeast Asia,5433000,Vientiane
Lebanon,LBN,Asia,Middle East,3282000,Beirut
Liberia,LBR,Africa,Western Africa,3154000,Monrovia
Libyan Arab Jamahiriya,LBY,Africa,Northern Africa,5605000,Tripoli
Saint Lucia,LCA,North America,Caribbean,154000,Castries
Liechtenstein,LIE,Europe,Western Europe,32300,Vaduz
Sri Lanka,LKA,Asia,Southern and Central Asia,18827000,Colombo
Lesotho,LSO,Africa,Southern Africa,2153000,Maseru
Lithuania,LTU,Europe,Baltic Countries,3698500,Vilnius
Luxembourg,LUX,Europe,Western Europe,435700,Luxembourg [Luxemburg/Lëtzebuerg]
